沙角台高，乱帆收向天边。	广州沙角炮台高高耸立，外国走私鸦片的船都远远地躲开了。
晴髻离离，太行山势如蝌蚪。稗花盈势，一寸霜皮厚。	晴日丘峦历历在目，就像美人的发髻。远望蜿蜒曲折的太行山如同蝌蝌。稗花开满田中，像浓重的霜雪落了一寸多厚。
赵魏燕韩，历历堪回首。	昔日赵魏燕韩古国，往事历历在目，令人不堪回首。
悲风吼，临洺驿口，黄叶中原走。	悲风凄厉地吼着，中原大地枯枝败叶到处飞舞。
战舰排江口。	战船排列在大江岸旁，这正是朝廷授印诸王，龙形花纹铸在印把子上。
正天边、真王拜印，蛟螭蟠钮。	他们要征发十万船夫，各州府急得尺驰雨骤一样。
征发棹船郎十万，列郡风驰雨骤。	可叹里巷左边鸡飞狗耽塘。
叹闾左、骚然鸡狗。	里正从前团催到后保，拴成串的壮丁都被锁进空粮仓。
里正前团催后保，尽累累、锁系空仓后。	批住头发就捉去，谁敢摇手表示反抗。
稻花恰趁霜天秀。有丁男、临歧诀绝，草间病妇。此去三江牵百丈，雪浪排樯夜吼。背耐得、土牛鞭否？好倚后园枫树下，向丛祠亟倩巫浇酒。神佑我，归田亩。	稻子刚好在秋天把花扬，有位壮丁和生病的妻子诀别在公路口的草地上。妻子说：“这一去江河很多，你要拉纤绳百丈长江上浪涛堆白雪，成排的旄杆上夜风吼响。你能受得住土牛鞭打在脊背上？”壮丁说：“快到野祠请巫师，在后因的权树下洒酒祭神求神，保佑我回家耕田种根。”
苏，固始人，南曲为当今第一。曾与说书叟柳敬亭同客左宁南幕下，梅村先生为赋《楚两生行》吴苑春如绣。笑野老、花颠酒恼，百无不有。沦落半生知己少，除却吹箫屠狗。算此外、谁欤吾友。忽听一声《河满子》，也非关、泪湿青衫透。是鹃血，凝罗袖。	苏州的春天如同锦绣一样美。我醉后大笑，为花而癫狂，为酒而苦恼，百无聊赖。沦落至中年，我的知音还是太少，除却伍子胥和狗屠。除此之外，还有谁是我的朋友呢？偶听一曲《河满子》，虽与我没有关系，但青衫还是被泪水湿透了。歌声如同杜鹃啼血，凝结了我的衣袖。
武昌万叠戈船吼。	万里武昌兵与战船在咆哮。
记当日、征帆一片，乱遮樊口。	这天，一片征战的战船在樊口乱成一团。
隐隐柁楼歌吹响，月下六军搔首。	船上能够隐隐听见歌声和鼓声，月下高歌，六军无不感动。
正乌鹊、南飞时候。	这正是乌鹊南飞的时候。
今日华清风景换，剩凄凉、鹤发开元叟。	今天的华清宫已不是原来的风貌，这里只剩下白发如鹤的苏昆生了。
我亦是，中年后。	而我的中年也快结束了。
水榭枕官河，朱栏倚粉娥。	一处庭阁静卧在官河上，有佳人倚着朱栏。
记早春、栏畔曾过。	回想起早春时节，我也曾从这儿走过。
无语注横波，裙花信手搓。	她默默注视着池面水波，信手搓揉着裙上花朵。
怅年光、一往蹉跎。	欢息春光易逝，辜负了美好的年华。
卖了杏花挑了菜，春纵好，已无多。	刚卖完杏花，又到了挑菜节，春光纵然好，只是不太多。
